event_number,event_number_niskin,date_time_utc,latitude,longitude,depth,replicate,POC_micromolar,PON_micromolar,POC_microg_perL,PON_microg_perL,C_to_N_molar_ratio,C_quality_flag,N_quality_flag
MVCO_424,MVCO_424_01,2020-01-15 19:00:00,41.325,-70.5657,13,a,33.289,4.394,399.819,61.548,7.576,1,1
MVCO_424,MVCO_424_02,2020-01-15 19:00:00,41.325,-70.5657,10,a,24.006,3.304,288.331,46.28,7.266,1,1
MVCO_424,MVCO_424_03,2020-01-15 19:00:00,41.325,-70.5657,5,a,22.489,2.878,270.105,40.309,7.814,1,1
MVCO_424,MVCO_424_04,2020-01-15 19:00:00,41.325,-70.5657,2,a,21.209,2.803,254.74,39.264,7.566,1,1
MVCO_425,MVCO_425_01,2020-02-25 21:00:00,41.325,-70.5657,13,a,29.662,3.248,356.265,45.487,9.134,1,1
MVCO_425,MVCO_425_02,2020-02-25 21:00:00,41.325,-70.5657,10,a,27.918,3.134,335.315,43.903,8.907,1,1
MVCO_425,MVCO_425_03,2020-02-25 21:00:00,41.325,-70.5657,6,a,25.843,2.987,310.392,41.844,8.651,1,1
MVCO_425,MVCO_425_04,2020-02-25 21:00:00,41.325,-70.5657,2,a,27.288,3.255,327.746,45.59,8.384,1,1
MVCO_426,MVCO_426_00,2020-03-12 19:15:00,41.325,-70.5657,0,a,36.297,3.36,435.948,47.066,10.802,3,3
MVCO_427,MVCO_427_01,2020-05-28 20:15:00,41.325,-70.5657,13,a,22.928,2.756,275.377,38.604,8.319,1,1
MVCO_427,MVCO_427_02,2020-05-28 20:15:00,41.325,-70.5657,10,a,25.803,3.422,309.908,47.935,7.54,1,1
MVCO_427,MVCO_427_03,2020-05-28 20:15:00,41.325,-70.5657,6,a,21.931,3.194,263.401,44.732,6.867,1,1
MVCO_427,MVCO_427_04,2020-05-28 20:15:00,41.325,-70.5657,2,a,18.026,2.928,216.5,41.008,6.157,1,1
MVCO_428,MVCO_428_01,2020-06-01 15:15:00,41.325,-70.5657,13,a,25.314,9.805,304.043,137.342,2.582,3,3
MVCO_428,MVCO_428_02,2020-06-01 15:15:00,41.325,-70.5657,10,a,24.21,3.762,290.774,52.689,6.436,1,1
MVCO_428,MVCO_428_03,2020-06-01 15:15:00,41.325,-70.5657,6,a,24.839,3.798,298.34,53.198,6.54,1,1
MVCO_428,MVCO_428_04,2020-06-01 15:15:00,41.325,-70.5657,2,a,21.128,3.402,253.756,47.648,6.211,1,1
MVCO_429,MVCO_429_00,2020-06-29 15:15:00,41.325,-70.5657,0,a,32.017,4.601,384.545,64.45,6.958,1,1
MVCO_429,MVCO_429_00,2020-06-29 15:15:00,41.325,-70.5657,0,b,31.327,4.35,376.257,60.929,7.202,1,1
MVCO_431,MVCO_431_00,2020-08-12 19:30:00,41.325,-70.5657,0,a,32.006,4.409,384.417,61.761,7.259,1,1
MVCO_432,MVCO_432_01,2020-08-21 17:10:00,41.325,-70.5657,13,a,34.434,4.348,413.575,60.907,7.919,1,1
MVCO_432,MVCO_432_02,2020-08-21 17:10:00,41.325,-70.5657,10,a,29.139,3.559,349.976,49.844,8.188,1,1
